individual	latitude	longitude	locus1		
100m1	36.7511	-3.1988	1		
100m2	36.7511	-3.1988	2		
100m3	36.7511	-3.1988	2		
100m4	36.7511	-3.1988	2		
100m5	36.7511	-3.1988	2		
100m6	36.7511	-3.1988	2		
200m1	36.8446	-3.509	3		
200m2	36.8446	-3.509	3		
200m3	36.8446	-3.509	3		
200m4	36.8446	-3.509	3		
350m1	36.8	-3.2173	4		
550m1	36.8	-3.2173	2		
550m2	36.8	-3.2173	2		
550m4	36.8	-3.2173	2		
550m5	36.8	-3.2173	5		
550m6	36.8	-3.2173	2		
800m1	36.7947	-3.2468	6		
800M2	36.7947	-3.2468	7		
800m3	36.7947	-3.2468	8		
1000m1	37.1632	-3.3665	2		
1000m2	37.1632	-3.3665	2		
1500m1	37.0021	-3.2702	2		
1500m2	37.0021	-3.2702	2		
1500m3	37.0021	-3.2702	2		
1500m4	37.0021	-3.2702	2		
1500m5	37.0021	-3.2702	2		
1650m1	37.1263	-3.4367	2		
2170m1	37.0972	-3.3975	2		
2170m2	37.0972	-3.3975	2		
2170m4	37.0972	-3.3975	10		
2170m5	37.0972	-3.3975	2		
2170m6	37.0972	-3.3975	2		
2170m7	37.0972	-3.3975	10		
2170m8	37.0972	-3.3975	9		
2200m1	37.1097	-3.4183	2		
2250m1	37.0972	-3.3975	2		
2250m2	37.0972	-3.3975	11		
2250m3	37.0972	-3.3975	12		
2250m4	37.0972	-3.3975	12		
2250m5	37.0972	-3.3975	2		
2500m1	37.0951	-3.3866	2		
2500m3	37.0951	-3.3866	12		
2500m4	37.0951	-3.3866	12		
2680m1	37.076	-3.3764	13		
2680m2	37.076	-3.3764	13		
2680m3	37.076	-3.3764	13		
2680m4	37.076	-3.3764	2		
2700m1	37.0943	-3.3866	9		
2700m3	37.0943	-3.3866	9		
2700m4	37.0943	-3.3866	2		
2700m5	37.0943	-3.3866	9		
2700m6	37.0943	-3.3866	15		
2700m7	37.0943	-3.3866	14		
2700m8	37.0943	-3.3866	16		
2700m9	37.0943	-3.3866	9		
2870m1	37.0715	-3.3735	13		
			
