individual	latitude	longitude	locus1	
CA15	38.50083333	-28.31611111	3		
CA23	51.90138889	-3.369166667	31		
CA33	38.76666667	-9.383333333	31		
CA8	50.13333333	7.183333333	31		
CF1	50.79847222	4.385758333	35		
CF10	49.08416667	14.3925	19		
CF100	32.8	-17.15277778	31		
CF102	54.18333333	16.45627778	31		
CF103	42.698	22.38466667	17		
CF104	42.088541	27.75155556	4		
CF105	41.9915	27.5475	4		
CF106	40.91166	21.81163889	22		
CF109	59.78539	5.389466	31		
CF11	50.585	14.70888889	19		
CF110	61.59777778	5.601111111	13		
CF111	57.592079	-5.523062	16		
CF113	53.549283	-10.188	33		
CF114	53.1644444	-8.0880556	33		
CF115	52.251136	1.611811	2		
CF116	57.272176	-5.86278	33		
CF117	41.778806	-7.938139	31		
CF12	49.65388889	15.88972222	1		
CF13	50.15361111	12.39611111	29		
CF14	62.99579848	7.42269712	18		
CF16	43.7396	39.629002	5		
CF19	28.550223	-16.192224	20		
CF2	50.379075	5.405122222	20		
CF20	32.73675	-16.889477	20		
CF22	38.635914	-27.968159	9		
CF24	38.586082	-28.707805	35		
CF25	36.974718	-25.09057	3		
CF26	36.983261	-25.090603	3		
CF28	53.83333333	158.8333333	25		
CF29	50.13333	7.183333	31		
CF3	50.21723056	5.7553	19		
CF30	49.490319	-1.80934	31		
CF31	38.746385	-27.365363	10		
CF32	38.746385	-27.365363	14		
CF36	36.279707	-5.524979	35		
CF37	46.88805556	5.519722222	35		
CF39	44.161765	3.691692	30		
CF4	50.53801389	5.520669444	35		
CF40	51.573442	-0.780215	35		
CF41	28.093335	-17.119718	20		
CF42	37.81583333	-25.23083333	15		
CF43	38.56259	-28.683723	35		
CF44	38.500952	-28.316126	35		
CF45	38.541137	-28.71468	8		
CF46	38.4	-28.21666667	35		
CF47	37.78333333	-25.31666667	11		
CF48	37.73333333	-25.33333333	11		
CF49	40.127572	-5.70204	30		
CF50	39.326862	-5.562444	19		
CF51	42.974511	-3.756824	30		
CF52	42.476149	2.672997	34		
CF53	32.754798	-16.829882	20		
CF54	41.027571	41.04332	6		
CF56	46.828548	16.357942	7		
CF61	49.73333333	0.3	31		
CF63	28.45944444	-16.40027778	3		
CF64	28.65166667	-17.83	31		
CF65	28.65143333	-17.81978333	3		
CF66	28.80518333	-17.82036667	3		
CF68	28.80473333	-17.80863333	3		
CF69	28.75683333	-17.78143333	3		
CF7	28.53175	-16.280293	31		
CF70	50.64166667	-4.110555556	31		
CF75	39.24608	-120.753751	27		
CF76	37.580501	-122.47633	27		
CF77	37.295906	-122.27005	27		
CF78	40.126916	-123.841438	27		
CF80	39.40934	-123.810353	24		
CF81	39.789544	-120.979157	21		
CF82	40.728267	-122.950072	28		
CF84	37.1	-119.1	23		
CF85	39.225471	-121.019826	27		
CF86	36.68962	-121.345553	27		
CF87	38.039439	-122.836475	26		
CF88	41.787953	-124.098873	27		
CF89	39.460583	-121.138058	27		
CF9	49.145	13.32722222	32		
CF90	38.910738	-120.682511	27		
CF91	48.05	-121.4041667	24		
CF92	42.0170346	-122.8939073	25		
CF94	37.88333333	-90.3	12		
CF97	37.05	-122.0833333	28		
				
