individual	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9					
S1	154	260	388	500	209	170	325	183	232					
S2	154	246	390	502	0	168	323	177	232					
S3	154	266	388	516	229	168	323	183	232					
S3-B	154	266	388	516	229	168	323	183	232					
S3-C	152	292	388	498	229	168	345	175	230					
S4	154	282	388	512	219	168	327	183	254					
S4-C	154	266	388	516	219	168	323	183	232					
S4-D	154	284	388	0	219	168	341	175	248					
S5	154	246	388	510	229	168	331	183	232					
S6	154	266	388	488	209	168	329	185	232					
S7	154	266	388	488	213	168	329	185	232					
S8	152	246	388	498	209	168	335	175	232					
S9	154	266	388	516	219	168	323	183	232					
S10	154	252	388	502	229	168	325	183	232					
S13	154	246	388	488	209	168	335	183	234					
S14	154	268	388	502	225	168	331	183	232					
S16	154	286	388	498	209	168	329	179	230					
S17	154	280	390	488	219	168	331	183	232					
S18	154	274	390	510	209	168	331	179	232					
S19	152	292	388	488	209	168	345	183	230					
S20	154	284	388	506	0	168	325	183	232					
S21	154	284	388	536	209	168	331	175	230					
S22	154	266	388	488	219	168	329	185	232					
S23	154	246	388	488	209	168	335	183	234					
S28	154	290	388	502	209	170	325	175	250					
S29	154	290	410	512	209	168	311	183	234					
S30	154	290	410	512	219	168	331	183	234					
S30-B	154	290	410	512	0	168	331	183	234					
S30-C	156	246	388	508	209	168	331	173	232					
S31	156	298	414	494	219	168	319	175	232					
S31-B	154	292	426	496	0	168	331	183	230					
S31-C	156	246	388	512	209	168	311	183	232					
S32	154	246	388	518	237	168	335	177	230					
S33	154	274	388	498	0	168	339	175	232					
S34	154	284	388	506	209	168	325	183	232					
S34-B	154	284	388	506	209	168	325	183	232					
S34-D	154	292	388	508	209	168	317	173	232					
S35	154	274	388	498	209	168	339	175	232					
S35-B	154	246	408	0	207	168	327	183	232					
S35-C	154	292	388	508	209	168	317	173	232					
S37	154	246	388	518	219	168	335	177	230					
S38	154	286	388	514	219	168	333	175	248					
S39	156	246	388	508	219	168	331	173	232					
S40	156	246	388	508	209	168	331	173	232					
S41	156	252	424	518	209	168	331	175	232					
S42	156	246	388	508	209	168	331	183	230					
S44	154	292	412	490	219	168	325	175	234					
S45	154	292	412	490	219	168	325	175	234					
S46	156	280	388	492	225	170	331	175	230					
S47	154	290	388	502	209	168	341	183	232					
S49	154	278	388	510	207	170	329	175	232					
S50	154	268	388	488	225	168	327	183	232					
S51	154	272	404	488	209	168	327	175	232					
S52	154	248	388	494	219	168	323	183	230					
S53	154	268	388	488	225	168	327	183	232					
S54	154	278	388	498	209	168	315	183	232					
S55	154	302	388	508	219	168	329	183	232					
S56	154	266	388	488	229	168	323	185	232					
S57	154	268	388	488	219	168	327	183	232					
S58	160	288	388	500	215	168	327	175	232					
S59	154	294	388	506	0	168	321	175	254					
