individual	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9					
V1	156	264	412	516	219	168	307	175	232					
V1-B	156	264	412	516	219	168	307	175	232					
V1-D	154	278	392	498	219	168	325	183	232					
V2	154	246	388	486	219	168	331	181	234					
V2-B	156	246	388	498	219	168	329	173	232					
V2-D	154	246	388	494	219	168	331	173	230					
V3	154	292	388	502	219	168	323	183	254					
V4	154	246	412	516	209	168	337	173	232					
V5	154	292	388	504	209	168	331	177	232					
V6	154	246	388	532	225	168	331	183	232					
V7	154	246	412	516	209	168	337	173	232					
V8	154	246	388	510	209	168	329	183	232					
V9	154	246	388	512	209	168	331	175	234					
V10	154	246	388	510	219	168	329	183	232					
V11	154	246	416	518	0	168	327	183	232					
V12	154	246	388	510	219	168	329	183	232					
V13	154	246	388	508	209	168	339	175	232					
V14	154	246	388	534	219	168	331	183	232					
V15	156	264	412	516	219	168	307	175	234					
V16	154	266	390	504	219	168	331	175	246					
V17	154	246	388	510	209	168	307	175	234					
V18	154	246	388	532	219	168	331	183	232					
V20	154	266	388	492	219	168	323	175	232					
V21	154	256	388	494	0	168	329	175	232					
V36	154	0	386	494	219	168	327	173	230					
V37	156	288	388	508	209	168	353	185	232					
V38	154	248	388	494	219	168	323	173	230					
V39	156	300	388	488	225	168	335	183	232					
V40	154	246	388	504	233	168	323	177	232					
V41	150	246	388	518	225	168	331	173	232					
V42	154	246	388	498	219	168	331	175	232					
V43	154	262	388	492	219	168	321	175	232					
V44	154	288	388	498	209	168	325	173	232					
V44-B	154	288	388	498	209	168	325	173	232					
V44-C	154	246	388	500	209	166	331	175	232					
V45	154	288	388	498	237	168	325	173	232					
V45-C	154	288	388	498	237	168	325	173	232					
V45-D	154	248	426	488	237	168	317	173	230					
V46	154	288	388	498	237	168	325	173	232					
V47	152	246	414	492	225	168	333	175	230					
V48	154	248	424	488	219	168	317	173	230					
V49	154	248	424	488	209	168	317	173	230					
V53	156	246	422	496	237	168	325	183	230					
V54	154	248	424	488	219	168	317	173	230					
V55	154	246	388	504	207	170	323	183	232					
V56	154	278	388	500	215	168	343	183	230					
V57	154	246	388	504	225	168	341	175	230					
V60	154	266	388	502	209	168	343	183	226					
V60-B	154	290	388	500	209	168	331	183	230					
V60-D	154	290	388	500	209	168	331	183	230					
V61	156	246	418	516	219	168	331	183	234					
V61-B	156	246	418	516	219	168	331	183	234					
V61-C	154	278	388	500	209	168	343	183	230					
V62	154	248	388	510	225	168	325	177	232					
V63	152	246	388	504	209	168	329	183	232					
V64	154	0	388	496	219	168	307	173	232					
V65	154	266	392	512	209	168	323	175	254					
V66	154	292	418	500	225	168	327	173	230					
V67	158	246	388	512	225	168	329	175	230					
V68	154	290	388	492	209	168	323	173	234					
V69	156	294	388	0	209	168	339	183	232					
V80	154	284	388	532	229	168	331	183	232					
V81	154	248	388	492	209	168	329	177	248					
V82	154	246	388	504	209	168	329	175	232					
V83	156	276	388	506	209	168	353	175	232					
V83-B	154	272	388	500	209	168	329	183	230					
V83-C	154	246	388	488	209	168	321	175	236					
V84	154	296	388	496	219	168	333	183	234					
