individual	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9					
Z1	154	252	418	486	209	168	329	183	230					
Z1-B	154	252	418	486	209	168	329	183	230					
Z1-C	154	252	418	486	209	168	329	183	230					
Z2	154	252	418	486	209	168	329	183	230					
Z2-C	154	252	418	486	209	168	329	183	230					
Z2-D	154	252	418	486	209	168	329	183	230					
Z3	154	280	388	508	207	168	333	183	232					
Z4	156	246	396	512	215	0	335	175	232					
Z5	152	246	412	508	209	172	325	177	236					
Z6	152	276	388	514	209	168	353	175	232					
Z7	156	246	416	492	209	170	331	173	232					
Z8	152	246	412	508	209	172	325	177	236					
Z9	152	246	412	508	209	172	325	177	236					
Z10	154	294	414	502	209	168	327	183	248					
Z10-B	156	290	414	506	209	168	331	173	232					
Z10-D	154	294	414	502	209	168	327	183	248					
Z11	154	272	388	510	209	168	325	183	0					
Z11-C	152	258	420	510	207	168	331	175	232					
Z11-D	152	258	420	510	209	168	331	175	232					
Z14	152	246	412	508	209	172	327	183	230					
Z16	154	294	414	502	215	168	327	183	248					
Z17	156	246	412	494	219	168	329	173	232					
Z18	154	266	424	494	209	168	333	173	232					
Z19	156	248	408	500	209	168	327	175	232					
Z20	154	246	416	508	209	170	321	175	234					
Z21	154	266	424	494	209	168	331	173	232					
Z22	154	246	412	508	209	168	333	183	232					
Z23	156	282	418	500	209	168	321	175	232					
Z24	154	266	424	494	209	168	331	173	232					
Z24-C	154	266	424	494	209	168	331	173	232					
Z24-E	154	266	424	494	209	168	331	173	232					
Z26	156	282	418	500	209	168	321	175	232					
Z26-B	152	246	388	496	209	170	335	175	232					
Z26-D	156	246	414	502	209	168	329	175	232					
Z27	152	246	0	496	209	172	327	177	232					
Z28	158	246	418	500	219	168	329	183	232					
Z31	158	246	418	500	209	168	329	183	232					
Z33	158	246	418	500	209	168	329	183	232					
Z37	156	266	418	510	209	170	313	175	232					
Z38	158	246	418	500	209	168	329	183	232					
Z39	152	246	0	504	209	172	331	175	232					
Z41	154	246	414	508	209	168	333	183	232					
Z42	152	254	398	504	227	168	349	183	232					
Z42-C	154	246	414	508	227	168	333	183	232					
Z42-D	152	246	412	514	0	168	331	177	230					
Z43	154	246	414	508	209	168	333	183	232					
Z43-C	150	246	422	506	209	168	327	177	230					
