individual	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9					
G1	0	246	412	518	0	168	327	175	232					
G1-C	154	246	412	518	205	168	327	175	232					
G1-D	154	246	412	518	205	168	327	175	232					
G2	0	246	414	504	0	170	329	175	250					
G2-C	152	246	414	504	0	170	329	175	250					
G2-D	152	246	414	504	0	170	329	175	250					
G3	154	246	414	508	0	168	333	183	230					
G3-D	154	246	414	508	0	168	333	183	230					
G3-E	154	246	414	508	0	168	333	183	230					
G4	154	246	414	508	209	168	333	183	230					
G4-B	154	246	414	508	0	168	333	183	230					
G4-C	0	246	414	508	0	168	333	183	230					
G5	154	246	414	508	209	168	333	183	230					
G5-B	154	246	414	508	0	168	333	183	230					
G5-C	154	246	414	508	205	168	333	183	230					
G6-B	154	246	414	508	0	168	333	183	230					
G6-C	154	246	414	508	0	168	333	183	230					
G7-E	154	246	414	508	209	168	333	183	230					
G7-F	154	246	414	508	0	168	333	183	230					
G8	154	246	414	508	209	168	333	183	230					
G8-E	156	268	414	504	0	168	329	183	248					
G8-F	154	246	414	508	209	168	333	183	230					
G9-C	154	246	414	508	0	168	333	173	230					
G9-D	154	246	414	508	0	168	333	183	230					
														
G1	G1-C	1												
G1	G1-D	1												
G1	G2	25												
G1	G2-C	25												
G1	G2-D	25												
G1-C	G1-D	1												
G1-C	G2	25												
G1-C	G2-C	25												
G1-C	G2-D	25												
G1-D	G2	25												
G1-D	G2-C	25												
G1-D	G2-D	25												
G2	G2-C	1												
G2	G2-D	1												
G2-C	G2-D	1												
G3-D	G3-E	1												
G3-D	G4	30												
G3-D	G4-B	30												
G3-D	G4-C	30												
G3-E	G4	30												
G3-E	G4-B	30												
G3-E	G4-C	30												
G4	G4-B	1												
G4	G4-C	1												
G4-B	G4-C	1												
G5	G5-B	1												
G5	G5-C	1												
G5	G6-B	400												
G5	G6-C	400												
G5	G7-E	455												
G5	G7-F	455												
G5	G8	510												
G5	G8-E	510												
G5	G8-F	510												
G5	G9-C	545												
G5	G9-D	545												
G5-B	G5-C	1												
G5-B	G6-B	400												
G5-B	G6-C	400												
G5-B	G7-E	455												
G5-B	G7-F	455												
G5-B	G8	510												
G5-B	G8-E	510												
G5-B	G8-F	510												
G5-B	G9-C	545												
G5-B	G9-D	545												
G5-C	G6-B	400												
G5-C	G6-C	400												
G5-C	G7-E	455												
G5-C	G7-F	455												
G5-C	G8	510												
G5-C	G8-E	510												
G5-C	G8-F	510												
G5-C	G9-C	545												
G5-C	G9-D	545												
G6-B	G6-C	1												
G6-B	G7-E	55												
G6-B	G7-F	55												
G6-B	G8	110												
G6-B	G8-E	110												
G6-B	G8-F	110												
G6-B	G9-C	145												
G6-B	G9-D	145												
G6-C	G7-E	55												
G6-C	G7-F	55												
G6-C	G8	110												
