individual	latitude	longitude	locus1		
DA10	60.64472242	22.00525356	10		
DA101	54.08333333	-131.75	2		
DA103	28.532881	-16.263714	7		
DA106	32.803436	-16.936798	7		
DA108	56.44589	-3.227234	10		
DA109	57.588123	-5.523248	3		
DA11	49.98213611	12.86338889	9		
DA110	57.554892	-4.893723	10		
DA112	53.535768	-10.16407	8		
DA113	53.176875	-6.292248	8		
DA114	50.32393	5.550241	10		
DA116	54.91666667	-159.25	1		
DA117	54.91666667	-159.25	1		
DA12	50.25191389	15.09193333	11		
DA121	32.72083333	-16.84027778	10		
DA122	54.22519444	16.11911111	8		
DA125	49.23366667	20.09225	11		
DA127	45.38275	14.87236111	11		
DA129	28.5	-16.31666667	8		
DA13	49.35722222	14.50333333	10		
DA130	43.28333333	-1.333333333	10		
DA131	38.479395	-28.267822	8		
DA132	38.427774	-28.313141	9		
DA133	38.664067	-28.111267	9		
DA134	38.614188	-28.686676	6		
DA135	32.73333333	-16.88333333	8		
DA136	43.4	-5.05	11		
DA138	43.15	-1.6	8		
DA14	50.7525	15.53388889	10		
DA145	49.241138	-2.052484	10		
DA147	56.673631	-5.631967	8		
DA148	56.42854	-3.246981	10		
DA149	50.488015	-4.503358	10		
DA15	48.90361111	14.49694444	10		
DA151	56.572883	-3.585793	9		
DA152	55.663327	-1.929143	10		
DA153	57.554892	-4.893723	10		
DA154	51.855445	-3.801416	8		
DA155	54.288589	-1.923679	11		
DA156	50.485015	-4.503358	10		
DA157	55.875727	-3.700939	10		
DA16	50.23972222	5.603888889	8		
DA17	43.37472222	22.61638889	11		
DA18	43.33333333	20.27472222	8		
DA2	43.06965	-5.111818	1		
DA20	58.28975623	8.35698909	8		
DA28	51.422761	4.782486	4		
DA30	53.456678	-9.850402	10		
DA33	28.549507	-16.203632	8		
DA37	51.576323	-0.809641	8		
DA4	60.248	22.64456775	10		
DA44	38.436514	-28.190746	9		
DA46	36.9737	-25.0888	9		
DA47	38.605268	-28.022261	9		
DA48	49.68604	19.030123	10		
DA49	50.13333333	7.183333333	10		
DA5	60.37278975	23.89510472	10		
DA50	38.456514	-28.190746	9		
DA51	38.436514	-28.190746	8		
DA53	52.219387	-2.290649	10		
DA55	49.392765	-1.673012	10		
DA56	38.74913	-27.348061	9		
DA58	38.481545	-28.237953	9		
DA59	37.76305556	-25.49444444	8		
DA6	60.10251985	21.751	10		
DA61	38.579243	-28.709075	9		
DA62	38.549762	-28.693507	9		
DA63	37.79444444	-25.27694444	8		
DA64	37.77583333	-25.45944444	9		
DA65	37.85138889	-25.77722222	8		
DA66	38.45027778	-28.23861111	9		
DA67	38.47611111	-28.34527778	9		
DA68	38.47944444	-28.27555556	9		
DA69	42.957679	10.762825	8		
DA7	61.60345978	27.98720354	10		
DA70	51.58587	-0.79402	8		
DA78	45.653768	1.832099	12		
DA79	42.968953	-3.774619	10		
DA8	69.49957857	26.546575	5		
DA83	50.667838	6.350977	8		
DA84	43.362755	-7.345562	10		
DA86	36.09870278	-5.541091667	10		
DA90	50.49972222	-3.773611111	8		
DA91	50.64166667	-4.110555556	10		
DA94	49.7	0.45	10		
DA95	54.042659	-6.194873	10		
DA98	28.79385	-17.80436667	8		
DT7	60.82230476	25.33664749	8		
		
