individual	latitude	longitude	locus1		
MC108	35.022616	-83.124361	7		
MC19	53.082477	-4.082451	2		
MC32	43.081928	0.12042	15		
MC39	51.88805556	-3.380277778	15		
MC40	51.8925	-3.375555556	15		
MC41	51.83916667	-3.323333333	15		
MC68	41.69866667	-73.78183333	7		
MC72	32.80055556	-17.14277778	1		
MC73	32.80722222	-17.14611111	1		
MF1	50.46693	5.964777	15		
MF10	61.58132134	29.69640163	15		
MF100	50.465	-3.49	15		
MF101	50.69666667	-3.119722222	10		
MF104	46.359998	5.890695	10		
MF105	28.7542	-17.7804	13		
MF106	51.835	-3.305277778	15		
MF107	51.89055556	-3.375	15		
MF108	50.52241667	5.495277778	10		
MF109	58.082971	16.349703	15		
MF111	49.703127	19.026468	10		
MF112	61.749923	15.166511	10		
MF113	54.218643	-5.950773	15		
MF115	52.913532	-7.912908	15		
MF12	49.10972222	16.21944444	10		
MF121	28.026255	-15.585068	15		
MF122	50.525	-3.8175	15		
MF123	44.03333333	5.333333333	15		
MF125	40.266667	15.466667	10		
MF127	42.9725	12.45972222	15		
MF13	50.73111111	15.73361111	10		
MF131	50.904518	-4.564009	15		
MF133	57.812943	-8.579464	5		
MF136	41.06666667	-75.01222222	3		
MF138	32.71666667	-16.84027778	15		
MF139	50.373387	6.774702	15		
MF14	50.05666667	17.24083333	10		
MF141	54.21666667	16.50294444	11		
MF142	54.2	16.34813889	10		
MF143	54.25	16.36822222	15		
MF144	54.26666667	16.34122222	11		
MF145	54.3	16.24188889	10		
MF146	54.18333333	16.34297222	16		
MF149	48.76347222	20.03086111	9		
MF15	48.665	14.71222222	10		
MF150	44.64708333	15.06805556	11		
MF151	40.813809	39.607086	10		
MF153	45.47697222	17.62255556	10		
MF154	43.48783333	20.53025	10		
MF155	42.00597222	27.43019444	15		
MF157	48.9315	20.33402778	10		
MF16	50.23972222	5.603888889	11		
MF162	43.13333333	-1.6	15		
MF163	42.96666667	-1.233333333	15		
MF164	28.75	-17.76666667	14		
MF165	38.76666667	-9.45	15		
MF169	46.08272222	7.066416667	10		
MF17	58.13056718	8.23760214	10		
MF170	41.97366667	-8.223194444	15		
MF171	41.77886111	-7.938083333	15		
MF172	56.87175	16.64566667	10		
MF174	37.688711	27.227898	17		
MF176	35.727562	-82.394714	8		
MF177	54.160424	-2.937	15		
MF178	57.193018	22.139854	10		
MF179	53.018501	-3.965034	2		
MF18	59.22608851	10.69822731	10		
MF180	56.595365	-3.985119	15		
MF181	41.277677	23.035927	10		
MF182	50.904667	-4.563859	15		
MF183	33.491303	-85.93154	3		
MF184	35.738849	-83.112516	3		
MF185	35.479823	-82.634182	7		
MF19	59.02064942	6.33487652	15		
MF2	58.061534	24.774857	10		
MF20	43.28333333	41.59166667	10		
MF21	50.4	57.51666667	10		
MF22	44.75	37.45	10		
MF23	32.737906	-16.87397	15		
MF25	37.299763	-8.53333	12		
MF27	52.9895772	-9.2186	15		
MF28	49.045295	4.945221	15		
MF29	49.119051	5.010796	15		
MF3	59.03333333	24.71666667	10		
MF30	51.594015	10.787587	11		
MF31	44.957996	34.045258	15		
MF33	51.804236	-0.5794	15		
MF35	47.68944444	5.182222222	15		
MF37	44.100746	7.504907	10		
MF38	45.86138889	9.015277778	10		
MF39	46.00916667	10.96833333	10		
MF4	27.73333333	-17.98333333	15		
MF40	46.17305556	10.7375	10		
MF41	49.480924	-1.766782	15		
MF42	38.727907	-27.215796	4		
MF44	36.345826	-5.544319	15		
MF45	36.410784	-5.62809	15		
MF46	46.574675	4.832954	15		
MF48	44.114212	3.553734	10		
MF49	44.154068	3.677759	15		
MF5	59.951	23.69863106	10		
MF51	45.91361111	9.186111111	10		
MF52	46.760444	6.393013	10		
MF53	41.02811111	21.90080556	10		
MF55	41.03408333	21.23475	10		
MF56	46.88805556	5.519722222	15		
MF57	37.76833333	-25.33194444	4		
MF58	38.50083333	-28.31611111	4		
MF59	37.87222222	-25.81194444	4		
MF6	60.40993563	23.05908431	10		
MF60	38.541137	-28.71468	4		
MF61	38.561604	-28.65853	4		
MF62	38.404009	-28.220902	4		
MF63	43.510215	10.44645	16		
MF64	37.764611	-25.211327	4		
MF67	52.001	-9.5	15		
MF68	52.056871	-9.515362	6		
MF7	60.1524008	22.128	15		
MF72	50.682918	6.205688	11		
MF73	39.383141	-4.509888	15		
MF74	42.846206	-6.82869	15		
MF77	34.96109	32.620468	17		
MF78	39.836355	-1.213474	15		
MF79	41.559977	-6.127968	15		
MF8	60.03113279	21.77667337	10		
MF80	34.93444444	-5.534722222	15		
MF81	43.153853	-4.475899	15		
MF82	44.50138889	-0.842222222	15		
MF83	46.01027778	-0.540277778	15		
MF84	45.068914	1.92225	15		
MF85	42.513361	-8.412677	16		
MF86	44.595	22.28263889	10		
MF87	47.74925	18.90294444	10		
MF88	47.90980556	19.81827778	10		
MF89	46.84638889	17.44977778	15		
MF9	60.21983232	19.66917466	10		
MF90	48.09611111	20.38552778	10		
MF91	43.35558333	20.74403333	10		
MF93	43.924605	19.380455	10		
MF94	42.40652778	18.75633333	15		
MF95	43.072023	-7.628045	15		
MF96	36.10650833	-5.539722222	15		
MF98	43.93333333	5.583333333	15		
				
