individual	latitude	longitude	locus1	locus2	locus3	locus4
OA1	50.174315	7.27252	3	4	0	1
OA100	50.13333333	1.933333333	3	5	1	0
OA101	44.40509	4.132175	3	7	2	2
OA103	54.220285	-5.949497	3	5	1	2
OA104	53.785846	-6.279044	3	5	1	2
OA105	54.193629	-7.244478	3	7	4	3
OA108	51.90638889	-3.363333333	3	0	1	2
OA109	50.783056	2.666389	3	5	1	2
OA11	58.383178	24.490664	0	2	11	4
OA111	50.222499	3.28474	3	0	1	2
OA112	47.91297	15.20191	3	0	2	0
OA120	57.657158	-4.326096	3	0	1	2
OA121	42.95138889	12.43694444	3	0	0	0
OA122	55.738902	-2.633114	3	0	1	0
OA137	50.372908	6.777316	0	0	0	2
OA138	50.562959	7.690716	0	0	0	2
OA139	48.683651	-2.318988	3	0	1	2
OA140	54.01777778	-0.66527	3	4	2	2
OA141	42.123	27.71872222	3	0	0	0
OA142	40.97241667	21.91155556	3	0	2	0
OA144	40.20502778	20.66461111	17	5	2	2
OA146	42.95955556	22.61727778	3	0	4	0
OA148	45.65591667	18.18625	3	0	1	0
OA149	45.420611	14.7154167	3	0	0	0
OA15	60.323888	21.294937	21	2	11	4
OA150	41.04575	21.21205556	3	0	0	0
OA154	41.729177	24.690371	21	6	11	5
OA155	55.093547	-3.419709	3	0	1	2
OA156	56.833621	-2.660966	0	0	1	0
OA162	57.256209	-4.491205	3	0	2	0
OA163	54.716788	-5.812311	3	0	2	0
OA164	51.950772	-3.427234	3	0	1	0
OA17	49.920062	12.770015	3	7	1	2
OA18	49.273069	13.616602	22	5	1	2
OA19	49.288775	13.949436	3	5	1	2
OA2	50.142476	7.181969	3	0	1	2
OA21	50.706188	15.735294	3	7	1	2
OA23	46.902255	17.589869	3	7	1	2
OA25	48.026213	22.510929	3	5	2	2
OA26	40.892559	26.903626	3	5	4	2
OA29	43.950316	19.373646	3	0	1	2
OA3	50.172775	7.209005	3	5	1	2
OA30	44.755511	37.449417	3	0	2	2
OA31	50.071244	38.530197	21	8	3	6
OA32	49.501796	5.452572	22	7	2	2
OA33	50.885438	1.889291	3	7	1	2
OA35	47.205342	9.428272	3	9	2	2
OA37	51.581337	10.783653	3	4	1	2
OA38	53.977897	22.27026	0	0	3	6
OA40	51.763139	-0.58288	0	0	1	2
OA42	46.593316	4.733877	3	0	1	2
OA43	56.24013	10.230024	3	0	2	2
OA45	50.552926	18.132877	3	4	2	3
OA46	50.13333333	7.183333333	22	5	1	2
OA47	47.68963	5.182235	3	5	1	2
OA52	49.509495	-1.742549	0	0	1	2
OA53	46.575412	4.833119	3	5	1	2
OA54	44.204444	3.515	3	7	1	2
OA55	45.883018	9.227128	3	5	2	2
OA57	41.044226	21.230003	21	16	5	5
OA60	46.019883	4.928609	3	17	2	2
OA62	45.84493	4.828874	3	9	2	2
OA63	45.96817	8.99349	3	7	1	1
OA64	42.183504	2.312422	3	4	1	2
OA67	53.979512	22.267857	21	0	6	0
OA68	42.802045	-3.720335	3	0	4	2
OA71	41.100149	-3.483489	3	5	2	2
OA72	41.733469	-3.055673	0	5	0	2
OA74	34.09027778	-4.186666667	9	20	5	7
OA75	33.55527778	-5.103055556	15	0	9	0
OA76	34.86388889	-4.509166667	0	0	8	6
OA79	40.545293	-2.0514	3	5	1	1
OA80	40.422791	-2.050048	0	0	2	2
OA81	39.083605	-4.617269	15	22	9	4
OA82	39.063715	-4.492779	3	5	2	2
OA83	40.637404	-3.170786	0	0	0	0
OA84	39.612499	-4.498583	3	0	1	2
OA85	38.1165	22.047943	16	23	12	8
OA86	45.653768	1.832099	3	4	1	1
OA87	49.58083333	2.6925	3	7	1	2
OA88	46.129412	-0.366626	3	7	2	2
OA90	42.735035	-3.410611	3	9	14	2
OA91	42.512016	-8.415377	3	7	15	2
OA92	42.968953	-3.774619	3	4	0	2
OA93	42.99623166	-7.543169823	3	4	1	2
OA94	43.93333333	5.583333333	19	9	2	2
OA95	50.85638889	-3.821944444	0	4	0	0
OA96	50.69666667	-3.119722222	3	4	1	2
OA97	46.216902	7.585752	21	0	0	0
OA98	46.306624	7.436686	22	0	1	0
OA99	46.235962	7.398849	21	0	3	6
					
