individual	latitude	longitude	locus1	locus2
PD1	58.614771	26.894817	1	10	
PD10	49.025572	14.496092	2	15	
PD101	50.251431	6.14512	4	14	
PD102	50.16145	5.816045	4	14	
PD103	46.370207	6.018777	1	7	
PD104	60.163888	21.561642	5	8	
PD105	60.434695	22.164173	0	3	
PD107	49.3030556	-123.1563889	5	38	
PD108	45.3499985	-73.1500015	5	1	
PD109	44.3833333	-65.2166667	5	1	
PD11	50.754812	15.535855	5	34	
PD110	36.9691667	-83.0330556	5	0	
PD112	35.1166649	-82.6166687	0	34	
PD116	45.500091	-79.449999	0	1	
PD118	45.066974	-79.750128	5	1	
PD119	45.266732	-79.683423	5	1	
PD12	50.068971	17.235292	5	1	
PD121	36.230081	-81.672456	0	34	
PD123	41.534539	-123.783331	0	3	
PD124	50.730291	2.728787	0	11	
PD125	50.350499	1.728115	5	11	
PD127	48.40848	15.21336	1	7	
PD128	50.734717	5.948982	2	15	
PD129	55.652992	-3.193274	4	14	
PD13	61.29484284	7.66408358	5	1	
PD130	55.550777	-2.838178	4	14	
PD133	54.91666667	-159.25	5	8	
PD134	45.117	-70.354	5	11	
PD137	42.8	-84.33333333	5	11	
PD138	44.70305556	-70.05777778	5	0	
PD139	42.9	-72.91666667	5	1	
PD14	54.565693	58.825378	5	1	
PD142	36.8825	-83.315	5	70	
PD144	40.28055556	-78.60722222	5	1	
PD145	41.470998	-81.145198	5	1	
PD147	49.33444444	-122.458	5	8	
PD148	39.00702778	-114.3175556	10	7	
PD15	63.87939	34.451294	5	28	
PD151	48.5	-122.6416667	5	0	
PD153	47.78333333	-122.9833333	5	0	
PD154	47.85	-120.7333333	0	7	
PD158	37.05277778	-119.0083333	10	7	
PD159	36.1	-118.5833333	1	7	
PD16	55.883977	48.666286	17	3	
PD163	41.508417	-123.993462	10	7	
PD164	37.21666667	-119.1833333	10	7	
PD166	35.9	-106.6333333	10	0	
PD167	43.317185	-73.015595	5	0	
PD17	58.245946	55.249786	15	3	
PD170	43.37466667	22.61641667	5	0	
PD172	44.19522222	7.392722222	0	7	
PD173	45.60055556	14.64233333	1	7	
PD176	41.79061111	-8.1376	4	14	
PD177	50.93333333	11.58333333	2	15	
PD178	57.672078	-2.492108	4	14	
PD18	56.517079	33.320618	15	3	
PD180	55.605166	-2.57648	4	14	
PD19	54.683359	40.670471	2	15	
PD2	58.434077	27.000217	1	11	
PD20	52.234108	35.383415	0	1	
PD21	56.14555	40.190277	15	39	
PD22	55.731677	36.866033	17	3	
PD23	69.067582	33.386993	1	7	
PD24	64.568056	39.847012	1	7	
PD25	43.470861	41.728363	0	29	
PD26	63.587675	55.627441	10	7	
PD27	50.823289	19.727898	15	3	
PD28	50.410213	19.256616	15	3	
PD29	46.088472	7.230148	17	3	
PD30	46.290969	13.82452	1	10	
PD31	49.800741	6.353742	4	14	
PD33	47.803009	6.753616	4	14	
PD34	50.12919	18.777734	5	11	
PD35	64.806881	13.942795	1	7	
PD36	55.966713	160.249965	21	12	
PD37	60.141563	19.948713	5	8	
PD38	44.159918	7.568965	1	7	
PD39	46.522257	4.970083	22	4	
PD4	60.01434622	22.391	5	8	
PD40	45.883018	9.2273	5	13	
PD41	45.968155	8.992732	0	7	
PD42	41.041038	21.898384	4	29	
PD43	41.023945	21.209764	4	74	
PD45	59.116239	25.635166	2	15	
PD46	46.176963	5.848778	0	1	
PD5	60.032	21.777	5	8	
PD52	42.077234	-4.538868	5	8	
PD54	49.583333	19.533333	0	7	
PD55	50.412675	5.363674	4	14	
PD56	46.559229	13.259186	1	7	
PD57	48.431479	21.464181	5	1	
PD59	46.048693	18.27158	2	0	
PD60	43.915949	19.410081	1	7	
PD61	48.050087	20.523634	15	3	
PD62	43.379226	22.627859	4	20	
PD63	44.542159	21.971598	0	1	
PD64	50.522377	-3.790805	4	14	
PD65	50.547854	-4.049163	4	14	
PD67	46.185535	7.574844	4	20	
PD69	46.217614	7.598362	1	0	
PD70	48.458451	-3.763248	4	14	
PD71	42.642009	1.486198	0	1	
PD73	42.533342	1.666669	0	7	
PD74	50.479029	6.111646	5	1	
PD77	51.902342	-3.369055	0	14	
PD78	56.900764	-2.551607	0	8	
PD79	55.335394	-3.441696	5	8	
PD83	57.133258	-4.159241	5	11	
PD84	52.151977	-8.000894	4	14	
PD85	57.44298359	-2.29990849	4	14	
PD86	51.437959	-3.303852	5	11	
PD87	53.052358	-8.400521	5	11	
PD88	50.128942	5.792427	4	14	
PD89	46.636708	8.594627	4	29	
PD9	48.756217	14.488603	17	3	
PD90	39.600133	-105.633602	0	12	
PD91	66.064862	23.471374	1	7	
PD93	64.733564	15.350103	0	12	
PD94	64.919904	20.852022	1	7	
PD95	63.233627	12.333813	29	18	
PD97	59.01741	17.808788	5	8	
PD98	59.04263	18.418565	5	8	
PD99	62.500074	15.916686	1	7	
				
