individual	latitude	longitude	locus1	locus2	
PW1	50.801595	4.4137	3	0	
PW10	59.019645	6.329727	5	0	
PW100	54.916667	-162.333333	1	1	
PW101	52.0862	-173.35632	0	1	
PW102	47.466667	-123.833333	2	0	
PW103	46.818858	-121.261597	3	1	
PW104	45.305199	-123.398294	3	0	
PW105	45.964056	-122.554806	1	10	
PW106	45.921543	-123.974075	1	0	
PW107	57.274	-135.276489	3	0	
PW108	45.964056	-122.554806	1	10	
PW109	49.488889	-122.293056	1	9	
PW110	52.062	-173.483	4	0	
PW111	51.769	-177.194	3	0	
PW112	49.252	-123.203	5	0	
PW113	43.316667	-124.366667	3	0	
PW115	56.035917	-156.740472	1	11	
PW116	55.055722	-159.500667	0	0	
PW117	49.131361	-122.50775	1	12	
PW118	47.983333	-123.316667	6	0	
PW119	47.970617	-123.542862	7	13	
PW12	49.170369	20.129843	7	0	
PW120	39.331327	-123.799378	5	0	
PW122	38.04755	-122.819653	0	10	
PW124	60.55	-145.741667	3	0	
PW125	47.866667	-123.033333	8	0	
PW126	49.323	-122.344	1	14	
PW127	41.366667	-124.016667	9	0	
PW128	47.583333	-123.233333	3	0	
PW129	47.366667	-123.416667	9	0	
PW13	50.736306	15.739928	3	0	
PW131	45.239917	15.0305	7	0	
PW132	45.356944	14.764944	7	3	
PW133	43.342	20.252278	7	1	
PW134	55.279311	-3.810596	3	3	
PW14	52.550158	-3.866529	3	3	
PW15	49.52722	19.31833	7	0	
PW18	51.57835	10.791206	3	2	
PW2	49.767019	5.266643	7	0	
PW20	51.679528	3.706756	0	0	
PW21	51.411997	4.807296	3	3	
PW23	47.134272	8.926706	3	0	
PW24	47.212689	9.398618	3	3	
PW25	53.541532	-9.885063	3	1	
PW26	52.033485	-9.600005	9	0	
PW27	58.235826	-5.00164	9	3	
PW29	62.167265	-7.083149	9	1	
PW3	42.78885	0.589027	3	0	
PW34	63.07129	16.591759	7	2	
PW35	49.566667	20.166667	7	1	
PW36	63.450164	11.084676	7	3	
PW37	58.935573	18.279	5	3	
PW38	54.5	-3.166667	7	2	
PW39	46.005666	5.784616	15	2	
PW4	58.490823	22.598419	7	1	
PW44	43.009417	-1.31959	3	0	
PW45	43.251204	-6.013069	3	0	
PW47	43.184	-4.523556	7	0	
PW5	58.928752	22.190895	9	1	
PW50	47.46895	18.034372	3	3	
PW51	43.446271	-7.497982	3	3	
PW52	50.518857	-3.818614	7	1	
PW53	50.440889	-3.909445	3	3	
PW54	50.547581	-4.049335	3	3	
PW55	48.783455	-123.083453	3	0	
PW56	59.60014	14.233203	7	2	
PW57	49.620192	18.861294	0	1	
PW58	52.833314	-173.166661	3	11	
PW59	51.138378	7.23484	3	0	
PW6	60.813218	22.821152	0	1	
PW60	51.893232	-3.37595	3	3	
PW61	51.833126	-3.318758	3	3	
PW62	56.044048	13.142281	5	1	
PW63	58.650513	13.883572	7	2	
PW64	59.249515	18.078046	3	1	
PW65	58.586151	12.069161	7	1	
PW66	58.154799	11.381729	9	1	
PW68	49.80628	19.782043	5	1	
PW69	70.533351	23.483269	7	0	
PW7	60.225074	21.394931	3	1	
PW70	63.655707	10.043449	9	1	
PW72	54.154192	-7.131557	9	3	
PW73	54.05325	-6.275	9	3	
PW74	53.083096	-7.624884	3	1	
PW76	51.40327	-1.693983	7	3	
PW77	50.440561	-3.909788	3	3	
PW78	60.240663	21.961613	3	3	
PW79	43.3	-124.216667	0	1	
PW8	50.633049	15.734457	9	1	
PW80	54.916667	-162.333333	3	1	
PW81	56.35	-157.833333	1	4	
PW82	52.833333	-173.166667	10	3	
PW83	52.85	-173.233333	11	10	
PW84	47.5	-123.833333	12	5	
PW85	48.75	-122.483333	9	11	
PW86	47.800242	-123.558197	9	1	
PW87	45.816667	-122.216667	3	6	
PW88	49.771619	1.828792	3	1	
PW89	50.687867	1.829882	5	3	
PW9	50.756142	15.557277	9	1	
PW90	47.5999	15.74643	5	1	
PW91	55.595807	-3.365436	3	0	
PW92	56.1597	-4.944649	3	3	
PW93	43.338333	-7.193056	3	1	
PW94	43.293722	-124.331111	13	0	
PW95	43.220814	-4.248104	3	3	
PW96	53.003611	-4.363056	3	7	
PW97	43.415833	-4.901944	3	3	
PW98	55.916667	-159.25	3	8	
PW99	51.816667	-176.616667	14	3	
				
