individual	latitude	longitude	locus1												
1	38.75	-0.15	1												
2	38.75	-0.15	1												
3	38.75	-0.15	1												
4	38.75	-0.15	1												
5	38.75	-0.15	1												
6	38.75	-0.15	1												
1	38.88333333	-0.7	9												
2	38.88333333	-0.7	9												
3	38.88333333	-0.7	10												
4	38.88333333	-0.7	15												
5	38.88333333	-0.7	15												
6	38.88333333	-0.7	1												
1	40.11666667	-1.4	15												
2	40.11666667	-1.4	15												
3	40.11666667	-1.4	15												
4	40.11666667	-1.4	15												
5	40.11666667	-1.4	7												
6	40.11666667	-1.4	1												
1	39.73333333	-1.233333333	15												
2	39.73333333	-1.233333333	15												
3	39.73333333	-1.233333333	15												
4	39.73333333	-1.233333333	15												
5	39.73333333	-1.233333333	15												
6	39.73333333	-1.233333333	1												
1	39.53333333	2.916666667	10												
2	39.53333333	2.916666667	10												
3	39.53333333	2.916666667	12												
4	39.53333333	2.916666667	1												
5	39.53333333	2.916666667	1												
6	39.53333333	2.916666667	9												
1	39.76666667	2.733333333	3												
2	39.76666667	2.733333333	3												
3	39.76666667	2.733333333	6												
4	39.76666667	2.733333333	1												
5	39.76666667	2.733333333	8												
6	39.76666667	2.733333333	12												
1	39.7	3.366666667	2												
2	39.7	3.366666667	6												
3	39.7	3.366666667	1												
4	39.7	3.366666667	1												
5	39.7	3.366666667	1												
6	39.7	3.366666667	1												
1	40.1	9.533333333	6												
2	40.1	9.533333333	6												
3	40.1	9.533333333	6												
4	40.1	9.533333333	6												
5	40.1	9.533333333	1												
6	40.1	9.533333333	1												
1	39.41666667	8.416666667	1												
2	39.41666667	8.416666667	1												
3	39.41666667	8.416666667	1												
4	39.41666667	8.416666667	1												
5	39.41666667	8.416666667	6												
6	39.41666667	8.416666667	6												
1	39.51666667	9.616666667	13												
2	39.51666667	9.616666667	13												
3	39.51666667	9.616666667	13												
4	39.51666667	9.616666667	1												
5	39.51666667	9.616666667	1												
6	39.51666667	9.616666667	2												
1	35.9	9.466666667	14												
2	35.9	9.466666667	14												
3	35.9	9.466666667	15												
4	35.9	9.466666667	1												
5	35.9	9.466666667	6												
6	35.9	9.466666667	11												
1	36.53333333	8.75	8												
2	36.53333333	8.75	8												
3	36.53333333	8.75	6												
4	36.53333333	8.75	2												
5	36.53333333	8.75	2												
6	36.53333333	8.75	1												
1	36.38333333	10.13333333	14												
2	36.38333333	10.13333333	14												
3	36.38333333	10.13333333	14												
4	36.38333333	10.13333333	1												
5	36.38333333	10.13333333	1												
6	36.38333333	10.13333333	1												
1	44.08333333	9.916666667	6												
2	44.08333333	9.916666667	6												
3	44.08333333	9.916666667	6												
4	44.08333333	9.916666667	6												
5	44.08333333	9.916666667	6												
6	44.08333333	9.916666667	1												
1	44.05	10.21666667	5												
2	44.05	10.21666667	5												
3	44.05	10.21666667	5												
4	44.05	10.21666667	1												
5	44.05	10.21666667	1												
6	44.05	10.21666667	1												
1	42.08333333	13.56666667	1												
2	42.08333333	13.56666667	1												
3	42.08333333	13.56666667	1												
4	42.08333333	13.56666667	1												
5	42.08333333	13.56666667	1												
6	42.08333333	13.56666667	15												
1	42.55	13.55	1												
2	42.55	13.55	1												
3	42.55	13.55	1												
4	42.55	13.55	1												
5	42.55	13.55	1												
6	42.55	13.55	1												
1	39.83333333	16.18333333	1												
2	39.83333333	16.18333333	1												
3	39.83333333	16.18333333	1												
4	39.83333333	16.18333333	1												
5	39.83333333	16.18333333	1												
6	39.83333333	16.18333333	11												
1	40.81666667	14.38333333	1												
2	40.81666667	14.38333333	1												
3	40.81666667	14.38333333	1												
4	40.81666667	14.38333333	1												
5	40.81666667	14.38333333	1												
6	40.81666667	14.38333333	1												
1	39.83333333	16.31666667	1												
2	39.83333333	16.31666667	1												
3	39.83333333	16.31666667	1												
4	39.83333333	16.31666667	1												
5	39.83333333	16.31666667	1												
6	39.83333333	16.31666667	1												
1	38	13.26666667	1												
2	38	13.26666667	1												
