individual	latitude	longitude	locus1
1	38.75	-0.15	1
2	38.75	-0.15	1
3	38.75	-0.15	1
4	38.75	-0.15	1
5	38.75	-0.15	1
6	38.75	-0.15	1
1	38.88333333	-0.7	1
2	38.88333333	-0.7	1
3	38.88333333	-0.7	1
4	38.88333333	-0.7	1
5	38.88333333	-0.7	3
6	38.88333333	-0.7	3
1	40.11666667	-1.4	3
2	40.11666667	-1.4	3
3	40.11666667	-1.4	3
4	40.11666667	-1.4	3
5	40.11666667	-1.4	3
6	40.11666667	-1.4	1
1	39.73333333	-1.233333333	3
2	39.73333333	-1.233333333	3
3	39.73333333	-1.233333333	3
4	39.73333333	-1.233333333	3
5	39.73333333	-1.233333333	1
6	39.73333333	-1.233333333	1
1	39.53333333	2.916666667	1
2	39.53333333	2.916666667	1
3	39.53333333	2.916666667	1
4	39.53333333	2.916666667	1
5	39.53333333	2.916666667	1
6	39.53333333	2.916666667	2
1	39.76666667	2.733333333	1
2	39.76666667	2.733333333	1
3	39.76666667	2.733333333	1
4	39.76666667	2.733333333	1
5	39.76666667	2.733333333	2
6	39.76666667	2.733333333	2
1	39.7	3.366666667	1
2	39.7	3.366666667	1
3	39.7	3.366666667	1
4	39.7	3.366666667	1
5	39.7	3.366666667	2
6	39.7	3.366666667	2
1	40.1	9.533333333	1
2	40.1	9.533333333	1
3	40.1	9.533333333	1
4	40.1	9.533333333	1
5	40.1	9.533333333	1
6	40.1	9.533333333	1
1	39.41666667	8.416666667	1
2	39.41666667	8.416666667	1
3	39.41666667	8.416666667	1
4	39.41666667	8.416666667	1
5	39.41666667	8.416666667	2
6	39.41666667	8.416666667	2
1	39.51666667	9.616666667	1
2	39.51666667	9.616666667	1
3	39.51666667	9.616666667	1
4	39.51666667	9.616666667	2
5	39.51666667	9.616666667	2
6	39.51666667	9.616666667	2
1	35.9	9.466666667	1
2	35.9	9.466666667	1
3	35.9	9.466666667	1
4	35.9	9.466666667	1
5	35.9	9.466666667	2
6	35.9	9.466666667	3
1	36.53333333	8.75	1
2	36.53333333	8.75	1
3	36.53333333	8.75	1
4	36.53333333	8.75	1
5	36.53333333	8.75	1
6	36.53333333	8.75	1
1	36.38333333	10.13333333	1
2	36.38333333	10.13333333	1
3	36.38333333	10.13333333	1
4	36.38333333	10.13333333	1
5	36.38333333	10.13333333	1
6	36.38333333	10.13333333	1
1	44.08333333	9.916666667	1
2	44.08333333	9.916666667	1
3	44.08333333	9.916666667	1
4	44.08333333	9.916666667	1
5	44.08333333	9.916666667	1
6	44.08333333	9.916666667	1
1	44.05	10.21666667	1
2	44.05	10.21666667	1
3	44.05	10.21666667	1
4	44.05	10.21666667	1
5	44.05	10.21666667	1
6	44.05	10.21666667	1
1	42.08333333	13.56666667	1
2	42.08333333	13.56666667	1
3	42.08333333	13.56666667	1
4	42.08333333	13.56666667	1
5	42.08333333	13.56666667	2
6	42.08333333	13.56666667	3
1	42.55	13.55	1
2	42.55	13.55	1
3	42.55	13.55	1
4	42.55	13.55	2
5	42.55	13.55	2
6	42.55	13.55	2
1	39.83333333	16.18333333	1
2	39.83333333	16.18333333	1
3	39.83333333	16.18333333	1
4	39.83333333	16.18333333	1
5	39.83333333	16.18333333	1
6	39.83333333	16.18333333	1
1	40.81666667	14.38333333	1
2	40.81666667	14.38333333	1
3	40.81666667	14.38333333	1
4	40.81666667	14.38333333	1
5	40.81666667	14.38333333	1
6	40.81666667	14.38333333	1
1	39.83333333	16.31666667	1
2	39.83333333	16.31666667	1
3	39.83333333	16.31666667	1
4	39.83333333	16.31666667	1
5	39.83333333	16.31666667	1
6	39.83333333	16.31666667	2
1	38	13.26666667	1
2	38	13.26666667	1
3	38	13.26666667	1
4	38	13.26666667	1
5	38	13.26666667	1
6	38	13.26666667	1
1	37.8	14.11666667	1
2	37.8	14.11666667	1
3	37.8	14.11666667	1
4	37.8	14.11666667	1
5	37.8	14.11666667	1
6	37.8	14.11666667	1
1	38.03333333	14.58333333	1
2	38.03333333	14.58333333	1
3	38.03333333	14.58333333	1
4	38.03333333	14.58333333	1
5	38.03333333	14.58333333	1
6	38.03333333	14.58333333	1
1	36.9	22.26666667	1
2	36.9	22.26666667	1
3	36.9	22.26666667	1
4	36.9	22.26666667	1
5	36.9	22.26666667	1
6	36.9	22.26666667	1
1	37.4	22.1	1
2	37.4	22.1	1
3	37.4	22.1	1
4	37.4	22.1	1
5	37.4	22.1	1
6	37.4	22.1	1
1	36.93333333	22.2	1
2	36.93333333	22.2	1
3	36.93333333	22.2	1
4	36.93333333	22.2	1
5	36.93333333	22.2	1
6	36.93333333	22.2	1
1	37.91666667	22.88333333	1
2	37.91666667	22.88333333	1
3	37.91666667	22.88333333	1
4	37.91666667	22.88333333	1
5	37.91666667	22.88333333	1
6	37.91666667	22.88333333	1
1	35.31666667	24.86666667	1
2	35.31666667	24.86666667	1
3	35.31666667	24.86666667	1
4	35.31666667	24.86666667	1
5	35.31666667	24.86666667	1
6	35.31666667	24.86666667	1
1	35.31666667	24.86666667	1
2	35.13333333	25.41666667	1
3	35.13333333	25.41666667	1
4	35.13333333	25.41666667	1
5	35.13333333	25.41666667	1
6	35.13333333	25.41666667	1
1	35.21666667	24.06666667	1
2	35.21666667	24.06666667	1
3	35.21666667	24.06666667	1
4	35.21666667	24.06666667	1
5	35.21666667	24.06666667	1
6	35.21666667	24.06666667	1
