individual	latitude	longitude	locus1	locus2	
SCI1	43.815702	3.740616	5	10	
SCI10	28.95	-13.7	4	8	
SCI100	42.415473	9.410291	21	4	
SCI11	28.401971	-14.07486	2	8	
SCI12	16.969457	-25.212936	3	6	
SCI13	28.57472222	-13.95805556	4	8	
SCI14	29.148676	-13.494172	4	8	
SCI15	43.358979	2.742848	5	10	
SCI16	38.586183	-6.740885	5	9	
SCI18	43.4879284	-6.1309238	5	10	
SCI19	37.05	22.36666667	6	10	
SCI2	44.004422	3.777523	7	2	
SCI20	37.751749	26.972423	7	7	
SCI21	40.76961111	20.92958333	8	4	
SCI22	42.01636111	27.50575	9	4	
SCI23	36.95507	22.45245	4	1	
SCI24	35.129245	24.909096	9	7	
SCI25	36.25529444	28.11246944	7	7	
SCI28	41.636999	28.098221	7	4	
SCI29	43.41511111	28.50622222	7	4	
SCI3	44.603913	2.395649	7	3	
SCI31	42.39725	18.76655556	7	7	
SCI33	43.38311111	28.47133333	11	7	
SCI36	42.12780556	19.22463889	5	7	
SCI38	41.186244	28.402963	12	4	
SCI4	45.978773	9.2588	5	5	
SCI40	42.39933333	18.77013889	8	4	
SCI41	36.5125	29.13166667	6	10	
SCI42	40.76961111	20.92958333	0	7	
SCI44	42.48577778	18.65222222	7	7	
SCI45	43.44055556	28.54716667	7	4	
SCI46	40.97241667	21.91155556	7	4	
SCI47	42.15772222	19.11036111	7	7	
SCI49	42.15041667	19.03102778	17	7	
SCI5	43.085611	13.717972	17	11	
SCI6	42.430616	9.299061	5	4	
SCI62	39.692427	2.566381	12	10	
SCI67	32.660911	-16.896114	20	9	
SCI7	37.237926	-8.173073	21	4	
SCI70	40.14083333	-8.404055556	21	9	
SCI77	39.333999	3.174706	9	10	
SCI79	36.82355556	-2.092277778	5	10	
SCI8	32.758985	-17.008324	11	9	
SCI9	28.830877	-17.807035	19	9	
SCI90	42.381943	9.192195	5	4	
SCI91	28.257518	-14.159002	4	8	
SCI93	28.447449	-14.053023	4	8	
SCI94	42.683697	9.303989	22	4	
SCI95	39.476088	-31.253457	19	9	
SCI96	38.657801	-27.270133	5	10	
SCI97	50.471341	-3.500758	7	9	
SCI98	44.446526	4.913406	7	10	
				
