individual	latitude	longitude	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9	locus10	locus11
EM_328	41.8247222	24.1230556	102	244	135	248	172	140	261	189	155	290	201
EM_329	41.8247222	24.1230556	102	244	135	248	172	140	261	189	155	290	201
EM_330	41.8247222	24.1230556	102	244	135	248	172	140	261	189	155	290	201
EM_331	41.8247222	24.1230556	102	244	135	248	172	140	261	189	155	290	201
EM_332	41.8247222	24.1230556	102	244	135	248	172	140	261	189	155	290	201
EM_378	41.7147222	23.5430556	102	240	138	248	197	140	272	219	155	286	198
EM_379	41.7147222	23.5430556	102	240	138	248	0	140	272	219	155	286	201
EM_293	41.7380556	23.5063889	99	240	129	248	172	140	268	241	0	0	0
EM_294	41.7380556	23.5063889	99	240	129	248	172	140	268	241	0	0	0
EM_295	41.7380556	23.5063889	99	240	129	248	172	140	268	243	155	290	201
EM_296	41.7380556	23.5063889	99	240	129	248	172	140	268	243	155	290	201
EM_297	41.7380556	23.5063889	99	240	129	248	172	140	268	249	155	290	201
EM_298	41.7147222	23.4697222	102	235	144	248	172	140	268	189	155	290	201
EM_299	41.7147222	23.4697222	102	235	144	248	172	140	268	189	155	290	201
EM_300	41.7147222	23.4697222	102	235	0	0	0	140	268	0	155	290	201
EM_301	41.7147222	23.4697222	102	235	0	0	0	0	0	0	155	290	201
EM_302	41.7147222	23.4697222	102	235	0	0	0	140	268	0	155	290	201
EM_359	42.2522222	23.4466667	99	242	132	248	172	140	272	207	157	286	201
EM_360	42.2522222	23.4466667	99	242	132	248	172	140	272	207	157	286	201
EM_361	42.2522222	23.4466667	99	242	132	248	172	140	272	207	157	286	201
EM_376	42.1677778	23.6769444	102	242	144	248	176	140	272	221	155	290	201
EM_377	42.1677778	23.6769444	102	242	144	248	176	140	272	221	155	290	201
EM_303	42.1830556	23.3711111	102	244	138	248	176	140	272	217	0	0	0
EM_304	42.1830556	23.3711111	102	244	138	248	176	140	272	217	155	290	201
EM_305	42.1830556	23.3711111	102	244	138	248	176	140	272	217	155	290	201
EM_306	42.1830556	23.3711111	102	244	0	0	0	140	272	217	155	290	201
EM_307	42.1830556	23.3711111	102	244	0	0	0	140	272	217	155	290	201
EM_289	42.2036111	23.3125000	102	244	0	0	0	140	272	219	155	290	201
EM_290	42.2036111	23.3125000	102	244	0	0	0	140	272	219	155	290	201
EM_291	42.2036111	23.3125000	102	244	0	0	0	140	272	219	0	0	0
EM_292	42.2036111	23.3125000	102	244	138	248	176	140	272	219	155	290	201
EM_308	42.7125000	24.8930556	102	225	144	248	172	140	272	209	155	293	201
EM_309	42.7125000	24.8930556	102	225	144	248	172	140	272	209	155	293	201
EM_310	42.7125000	24.8930556	102	225	144	248	172	140	272	209	155	293	201
EM_311	42.7125000	24.8930556	102	225	144	248	172	140	272	209	155	293	201
EM_312	42.7125000	24.8930556	102	225	144	248	172	140	272	209	0	0	0
EM_313	42.7305556	24.3705556	102	240	144	248	172	140	272	209	155	290	201
EM_314	42.7305556	24.3705556	102	240	144	248	172	140	272	209	155	290	201
EM_315	42.7305556	24.3705556	102	240	144	248	172	140	272	209	155	290	201
EM_316	42.7305556	24.3705556	102	240	144	248	172	140	272	209	155	290	201
EM_317	42.7305556	24.3705556	102	240	144	248	172	140	272	209	155	290	201
EM_368	42.5880556	23.2872222	102	244	0	248	178	140	272	239	155	290	201
EM_369	42.5880556	23.2872222	102	244	0	248	178	140	272	245	0	0	0
EM_370	42.5880556	23.2872222	102	244	0	248	178	140	272	245	157	290	201
EM_374	42.6016667	23.2391667	102	240	132	248	174	140	275	249	155	290	201
EM_375	42.6016667	23.2391667	102	240	132	248	174	140	275	247	155	290	201
EM_371	42.5813889	23.2297222	102	240	132	248	174	140	275	189	155	290	201
EM_372	42.5813889	23.2297222	102	240	0	0	0	140	275	189	155	290	201
EM_373	42.5813889	23.2297222	102	240	132	248	174	140	275	189	155	290	201
EM_365	42.5913889	23.2863889	102	244	0	248	178	140	272	245	157	290	201
EM_366	42.5913889	23.2863889	102	244	0	248	178	140	272	245	157	290	201
EM_367	42.5913889	23.2863889	102	244	135	248	178	140	272	245	157	290	201
EM_382	42.5844444	23.2563889	102	247	0	248	178	140	272	249	157	290	201
EM_383	42.5844444	23.2563889	102	247	0	248	178	140	272	249	157	290	201
EM_318	42.5491667	23.2794444	102	240	144	248	172	140	275	189	155	290	201
EM_319	42.5491667	23.2794444	102	240	0	0	0	0	0	0	155	290	201
EM_320	42.5491667	23.2794444	102	240	0	0	0	0	0	0	155	290	201
EM_321	42.5491667	23.2794444	102	240	144	248	172	140	275	189	155	290	201
EM_322	42.5491667	23.2794444	102	240	144	248	172	140	275	189	155	290	201
EM_174	49.7396036	16.1482717	99	240	129	248	176	140	268	189	155	290	201
EM_175	49.7396036	16.1482717	99	240	129	248	176	140	268	189	155	290	201
EM_176	49.7396036	16.1482717	99	240	129	248	176	140	268	189	155	290	201
EM_144	49.7427461	16.1650569	102	240	138	248	174	140	268	239	155	290	201
EM_145	49.7427461	16.1650569	102	240	138	248	174	140	268	233	155	290	201
EM_146	49.7427461	16.1650569	102	240	138	248	174	140	268	239	155	290	201
EM_156	49.7737478	15.8123058	102	244	132	248	172	140	272	235	155	290	201
EM_157	49.7737478	15.8123058	102	244	132	248	172	140	272	235	155	290	201
EM_158	49.7737478	15.8123058	102	244	132	248	172	140	272	235	155	290	201
EM_041	48.9202900	13.6707700	102	225	144	248	172	140	264	189	155	290	201
EM_042	48.9202900	13.6707700	102	225	144	248	172	0	0	0	0	290	201
EM_043	48.9202900	13.6707700	102	225	144	248	172	140	264	189	155	290	201
EM_044	48.9202900	13.6707700	102	225	144	248	172	0	0	0	0	290	201
EM_045	48.9202900	13.6707700	102	225	144	248	172	140	264	189	155	290	201
EM_251	48.9202900	13.6707700	102	225	144	248	172	140	264	189	155	290	201
EM_252	48.9202900	13.6707700	102	225	144	248	172	140	264	189	155	290	201
EM_253	48.9202900	13.6707700	102	225	144	248	172	140	264	189	155	290	201
EM_183	49.3852222	15.3295833	102	223	132	248	174	140	268	207	155	290	201
EM_184	49.3852222	15.3295833	102	223	132	248	174	140	268	207	155	290	201
EM_185	49.3852222	15.3295833	102	223	132	248	174	140	268	207	155	290	201
EM_171	49.7183317	16.1271269	99	239	138	248	172	140	268	209	155	290	201
EM_172	49.7183317	16.1271269	99	239	138	248	172	140	268	209	155	290	201
EM_173	49.7183317	16.1271269	99	239	138	248	172	140	268	209	155	290	201
EM_216	49.0262475	13.5177069	102	240	132	248	174	140	268	189	155	290	201
EM_217	49.0262475	13.5177069	102	240	132	248	174	140	268	189	155	290	201
EM_218	49.0262475	13.5177069	102	240	132	248	174	140	268	189	155	290	201
EM_071	49.4072780	15.4191940	102	235	132	248	172	140	272	189	155	290	201
EM_072	49.4072780	15.4191940	102	235	132	248	172	140	272	189	155	290	201
EM_074	49.4072780	15.4191940	102	235	132	248	172	140	272	189	155	290	201
EM_075	49.4072780	15.4191940	102	235	132	248	172	140	272	189	155	290	201
EM_267	49.4072780	15.4191940	102	235	132	248	172	140	272	189	155	290	201
EM_268	49.4072780	15.4191940	102	235	132	248	172	140	272	189	155	290	201
EM_269	49.4072780	15.4191940	102	235	132	248	172	140	272	189	155	290	201
EM_187	49.2518611	15.2987222	99	225	129	248	172	140	272	189	155	290	201
EM_285	49.2518611	15.2987222	99	225	129	248	172	140	272	189	155	290	201
EM_286	49.2518611	15.2987222	99	225	129	248	172	140	272	189	155	290	201
EM_189	49.2501944	15.2968333	102	242	129	248	172	140	268	189	155	290	201
EM_190	49.2501944	15.2968333	102	242	129	248	172	140	268	189	155	290	201
EM_191	49.2501944	15.2968333	102	242	129	248	172	140	268	189	155	290	201
EM_141	49.0821100	13.5545900	99	240	0	248	172	140	268	189	155	293	201
EM_142	49.0821100	13.5545900	99	242	157	248	172	140	272	189	155	290	201
EM_143	49.0821100	13.5545900	99	242	157	248	172	140	272	189	155	290	201
EM_195	49.5855000	15.9423333	102	223	132	248	174	140	268	207	155	293	201
EM_196	49.5855000	15.9423333	102	223	132	248	174	140	268	207	155	293	201
EM_197	49.5855000	15.9423333	102	223	132	248	174	140	268	207	155	293	201
EM_201	49.7536869	15.9607950	99	240	129	248	176	140	268	189	155	290	201
EM_202	49.7536869	15.9607950	99	240	129	248	176	140	268	189	155	290	201
EM_203	49.7536869	15.9607950	99	240	129	248	176	140	268	189	155	290	201
EM_348	50.0410556	17.2103056	99	235	129	248	172	140	261	233	155	290	201
EM_349	50.0410556	17.2103056	99	235	129	248	172	140	261	233	155	290	201
EM_350	50.0410556	17.2103056	99	235	129	248	172	140	261	233	155	290	201
EM_351	50.0410556	17.2103056	99	235	129	248	172	140	261	233	155	290	201
EM_352	50.0410556	17.2103056	99	235	129	248	172	140	261	233	155	290	201
EM_425	50.0410556	17.2103056	99	235	129	248	172	140	261	233	155	290	201
EM_065	50.0090500	12.5145600	0	0	129	248	185	0	0	0	0	0	0
EM_257	50.0090500	12.5145600	0	0	129	248	185	143	275	0	0	0	0
EM_258	50.0090500	12.5145600	0	0	129	248	185	0	0	0	0	0	0
EM_207	50.0400800	12.7360500	102	225	132	248	172	140	261	229	155	290	201
EM_208	50.0400800	12.7360500	102	225	0	0	0	140	261	0	155	0	201
EM_209	50.0400800	12.7360500	102	225	0	0	0	140	261	0	155	0	201
EM_129	49.4031389	15.3953056	102	235	132	248	172	140	272	189	155	290	201
EM_130	49.4031389	15.3953056	102	235	132	248	172	140	272	189	155	290	201
EM_131	49.4031389	15.3953056	102	235	132	248	172	140	272	189	155	290	201
EM_192	49.6114722	16.1397500	99	231	129	248	172	140	268	189	155	290	201
EM_193	49.6114722	16.1397500	99	231	0	0	0	140	268	189	155	290	201
EM_194	49.6114722	16.1397500	99	237	0	0	0	140	272	203	155	290	201
EM_076	49.5658890	15.9743330	102	237	144	248	195	140	275	207	155	290	201
EM_077	49.5658890	15.9743330	102	237	144	248	195	140	275	207	155	290	201
EM_078	49.5658890	15.9743330	102	237	144	248	195	140	275	207	155	290	201
EM_079	49.5658890	15.9743330	102	237	144	248	195	140	275	207	155	290	201
EM_080	49.5658890	15.9743330	102	237	144	248	195	140	275	207	155	290	201
EM_056	49.7700660	15.9377880	99	240	138	248	174	140	261	189	155	290	201
EM_057	49.7700660	15.9377880	99	240	138	248	174	140	261	189	155	290	201
EM_058	49.7700660	15.9377880	99	240	138	248	174	140	261	189	155	290	201
EM_059	49.7700660	15.9377880	99	240	138	248	174	140	261	189	155	290	201
EM_060	49.7700660	15.9377880	99	240	138	248	174	140	261	189	155	290	201
EM_046	49.6661390	15.8529720	102	240	132	248	172	140	261	189	155	290	201
EM_047	49.6661390	15.8529720	102	240	132	248	172	140	261	189	155	290	201
EM_048	49.6661390	15.8529720	102	240	132	248	172	140	261	189	155	290	201
EM_049	49.6661390	15.8529720	102	240	132	248	172	140	261	189	155	290	201
EM_050	49.6661390	15.8529720	102	240	132	248	172	140	261	189	155	290	201
EM_108	49.1318611	15.2373333	102	242	129	248	174	140	268	189	155	290	201
EM_109	49.1318611	15.2373333	99	244	141	248	172	140	268	189	155	290	201
EM_110	49.1318611	15.2373333	102	242	129	248	174	140	268	189	155	290	201
EM_165	49.6472508	16.2683350	99	225	132	248	174	140	268	221	155	290	201
EM_166	49.6472508	16.2683350	99	225	132	248	174	140	268	221	155	290	201
EM_167	49.6472508	16.2683350	99	225	132	248	174	140	268	221	155	290	201
EM_198	49.4501667	15.4470278	99	240	132	248	172	140	268	189	155	290	201
EM_199	49.4501667	15.4470278	99	240	132	248	172	140	268	189	155	290	201
EM_200	49.4501667	15.4470278	99	240	132	248	172	140	268	189	155	290	201
EM_051	49.3163330	15.3486390	99	225	129	248	172	140	272	189	155	290	201
EM_053	49.3163330	15.3486390	99	225	129	248	172	140	272	189	155	290	201
EM_054	49.3163330	15.3486390	99	225	129	248	172	140	272	189	155	290	201
EM_055	49.3163330	15.3486390	99	225	129	248	172	140	272	189	155	290	201
EM_254	49.3163330	15.3486390	99	225	129	248	172	140	272	189	155	290	201
EM_255	49.3163330	15.3486390	99	225	129	248	172	140	272	189	155	290	201
EM_256	49.3163330	15.3486390	99	225	129	248	172	140	272	189	155	290	201
EM_168	49.7825000	15.8385831	102	240	144	248	172	140	268	189	155	290	201
EM_169	49.7825000	15.8385831	102	240	144	248	172	140	268	189	155	290	201
EM_170	49.7825000	15.8385831	102	242	132	248	172	140	272	189	155	290	201
EM_117	49.2476667	15.2790000	102	240	132	248	172	140	272	237	155	290	201
EM_118	49.2476667	15.2790000	102	240	132	248	172	140	272	237	155	290	201
EM_119	49.2476667	15.2790000	102	240	132	248	172	140	272	237	155	290	201
EM_180	48.9860000	14.7089167	102	240	138	248	172	140	272	239	155	290	201
EM_181	48.9860000	14.7089167	102	240	138	248	172	140	272	239	155	290	201
EM_182	48.9860000	14.7089167	102	240	138	248	172	140	272	239	155	290	201
EM_356	50.0593056	17.2421389	99	225	144	248	172	140	261	235	155	290	201
EM_357	50.0593056	17.2421389	99	225	0	0	0	140	261	235	155	290	201
EM_358	50.0593056	17.2421389	99	225	0	248	172	140	261	235	155	290	201
EM_430	50.0593056	17.2421389	99	225	144	248	172	140	261	235	155	290	201
EM_353	50.0586667	17.2389167	99	240	132	248	172	140	272	189	155	290	201
EM_354	50.0586667	17.2389167	99	240	0	0	0	140	272	189	155	290	201
EM_355	50.0586667	17.2389167	99	240	132	248	172	140	272	189	155	290	201
EM_333	50.0580278	17.2380000	99	240	0	0	0	140	268	0	0	290	201
EM_334	50.0580278	17.2380000	99	240	0	0	0	140	268	0	0	290	201
EM_335	50.0580278	17.2380000	99	240	0	0	0	140	268	0	0	290	201
EM_336	50.0580278	17.2380000	99	240	144	248	172	140	268	189	155	290	201
EM_337	50.0580278	17.2380000	99	240	144	248	172	140	268	189	155	290	201
EM_423	50.0580278	17.2380000	99	240	141	248	172	140	268	189	155	290	201
EM_162	49.7114442	15.9277500	102	242	144	248	174	140	261	209	155	290	201
EM_163	49.7114442	15.9277500	102	242	144	248	174	140	261	209	155	290	201
EM_164	49.7114442	15.9277500	102	242	144	248	174	140	261	209	155	290	201
EM_204	49.7047061	15.9316469	102	242	144	248	174	140	261	209	155	290	201
EM_205	49.7047061	15.9316469	102	242	138	248	174	140	261	209	155	290	201
EM_206	49.7047061	15.9316469	102	242	144	248	174	140	261	209	155	290	201
EM_159	49.7142925	15.7730281	99	240	135	248	172	140	268	235	155	290	201
EM_160	49.7142925	15.7730281	102	244	129	248	174	140	272	189	155	290	201
EM_161	49.7142925	15.7730281	99	240	135	248	172	140	268	235	155	290	201
EM_099	48.8918333	14.6879167	99	240	138	248	172	140	272	203	155	290	201
EM_100	48.8918333	14.6879167	99	240	0	0	0	140	272	203	155	290	201
EM_101	48.8918333	14.6879167	99	240	138	248	172	140	272	203	155	290	201
EM_225	49.1094167	20.2122500	99	235	144	248	172	140	272	189	155	290	201
EM_226	49.1094167	20.2122500	102	242	144	248	174	140	272	189	155	290	201
EM_227	49.1094167	20.2122500	102	242	144	248	174	140	272	189	155	290	201
