individual	latitude	longitude	locus1	locus2	locus3	locus4
TA10	60.706212	27.930625	1	1	3	1
TA100	46.608333	-116.21602	1	1	1	1
TA101	46.68505	-116.20657	1	0	1	0
TA102	39.640265	-105.438638	1	1	1	1
TA103	39.983697	-105.297146	1	1	1	1
TA104	40.357075	-105.498719	1	1	1	1
TA105	44.21666667	-120.6666667	1	0	1	0
TA106	41.60983333	-123.2160278	1	1	1	1
TA107	41.6065	-123.2055	1	1	2	1
TA108	41.99861111	-123.1444444	1	0	1	0
TA109	41.65833333	-123.8583333	1	4	1	4
TA11	61.863793	25.189886	1	1	3	1
TA110	48.36783333	-116.791	1	1	1	1
TA111	53.03333333	-119.2166667	0	1	1	1
TA113	66.88916667	-160.6868333	3	1	1	1
TA114	41.59644444	-123.141	1	1	2	1
TA115	39.88916667	-105.9027778	1	1	1	1
TA116	44.18598142	-107.1449812	1	5	1	5
TA117	44.23225035	-107.2972711	0	6	1	6
TA118	46.68333333	-114.5333333	0	5	1	5
TA119	57.15	-170.25	0	1	1	1
TA12	69.044289	20.803299	1	1	3	1
TA120	66.88936111	-160.6868333	0	1	1	1
TA121	41.28333333	-106.45	1	1	1	1
TA122	44.1	-103.6666667	0	6	1	6
TA123	48.66666667	-120.85	0	1	1	1
TA124	48.61666667	-118.4666667	0	1	1	1
TA125	48.05	-120.7166667	1	5	1	5
TA126	47.86666667	-123.0333333	1	1	1	1
TA127	48.5	-122.6416667	1	0	1	0
TA128	48.56666667	-120.4833333	1	5	1	5
TA129	48.61666667	-119.0083333	0	1	1	1
TA13	42.371667	18.823333	0	4	1	4
TA130	47.93333333	-123.2333333	0	1	1	1
TA131	47.5	-121.75	0	7	1	7
TA132	41.94416667	-123.1366667	1	1	1	1
TA133	46.93333333	-121.0333333	1	5	2	5
TA134	42.443728	-121.854916	0	1	1	1
TA135	61.253065	-149.276962	3	4	1	4
TA136	57.396111	-153.483333	1	4	1	4
TA138	44.106324	7.426529	5	1	1	1
TA139	43.37466667	22.61641667	1	1	1	1
TA14	43.147778	19.096667	1	3	1	3
TA140	41.785841	24.593149	1	4	1	4
TA142	65.585897	-16.914153	1	5	3	5
TA143	63.694378	-19.440422	0	5	1	5
TA144	46.133099	7.916751	0	1	1	1
TA15	43.215	22.1125	1	3	1	3
TA16	40.851944	20.598056	1	4	1	4
TA17	60.058993	9.211932	1	1	1	1
