individual	latitude	longitude	locus1	locus2	locus3
TA19	42.383333	46.916667	18	2	0
TA20	43.416667	41.816667	14	2	0
TA31	46.551667	11.813889	11	2	1
TA33	44.08179	7.538495	0	1	1
TA45	38.013926	22.168881	0	3	1
TA46	38.546842	22.547462	0	1	2
TA49	45.079218	6.685839	0	1	0
TB1	42.353123	9.255014	9	3	2
TB11	62.1	58.4	1	2	2
TB12	46.001732	7.348251	0	4	2
TB13	62.686667	12.395833	9	4	2
TB15	48.973907	19.331589	11	2	1
TB19	46.487697	11.812273	0	1	2
TB2	59.375	24.1	11	4	1
TB22	42.352962	44.68739	0	5	5
TB24	40.165035	44.499936	0	6	0
TB26	44.00201	7.50208	17	5	5
TB27	44.115	7.479167	11	2	2
TB28	44.155278	7.596389	11	3	1
TB29	46.766206	6.390209	12	1	2
TB30	45.086111	5.636111	11	3	2
TB31	46.116562	7.496681	12	3	0
TB32	48.881199	21.133175	0	5	5
TB33	46.577743	11.677723	11	1	0
TB34	53.35	57.533333	11	6	0
TB35	43.374667	22.616417	2	1	1
TB36	43.142139	19.085472	10	2	2
TB37	48.110608	20.536597	16	5	5
TB38	46.239821	7.618575	12	3	0
TB39	46.135598	7.624927	11	2	0
TB4	69.211024	21.016759	1	2	2
TB40	46.369674	7.68209	9	4	2
TB41	46.347135	7.43611	11	3	2
TB42	42.512855	1.682911	11	3	0
TB43	42.479567	1.54973	0	3	0
TB44	42.584686	1.483312	11	1	0
TB45	42.39665	9.324596	0	3	0
TB46	64.733333	15.35	9	4	2
TB47	66.766667	15.9	9	4	2
TB48	62.752778	12.546944	9	4	2
TB5	48.96288	14.07308	0	1	2
TB50	50.522778	5.495278	17	5	5
TB51	50.522417	5.495278	17	5	5
TB53	59.375	24.1	13	1	1
TB55	81.4	-76.916667	15	7	0
TB56	81.416667	-76.916667	15	7	0
TB57	81.833333	-71.583333	15	7	2
TB58	40.633952	14.573364	11	2	2
TB6	50.0408	16.4281	0	5	0
TB61	46.386609	7.629318	11	3	2
TB62	62.307198	9.604454	0	2	3
TB63	39.35680556	-114.6555	6	2	2
TB64	38.92583333	-114.2516667	7	2	2
TB65	37.178292	-113.687579	6	0	0
TB67	31.91833333	-109.2705556	3	2	2
TB68	38.98941667	-114.2236111	7	2	2
TB7	50.18113	16.86352	11	2	2
TB70	44.232224	-107.29733	4	2	2
TB72	37.18388889	-108.5252778	5	2	2
TB73	35.90833333	-106.6333333	8	2	2
TB74	35.82916667	-106.5916667	0	2	2
TB76	36.31011944	-115.6154167	4	2	0
TB77	37.38333333	-118.1666667	0	2	0
TB78	35.225	-106.4583333	0	2	0
TB8	43.2175	43.286389	0	6	0
TB81	42.396143	9.326921	11	3	0
TB82	50.483098	5.516381	17	5	5
TB83	48.08225	20.44951667	17	5	5
TB84	42.00597222	27.42255556	17	5	0
TB85	42.891	23.17408333	17	0	0
TB86	36.250918	74.724197	0	2	0
TB87	63.694378	-19.440422	0	2	0
TB9	43.466667	43.6	17	5	5
				
