individual	latitude	longitude	locus1	locus2	locus3
AL12	69.10228	20.68054	3	0	0
AL19	50.252254	15.091753	3	0	0
AL33	48.51667	7.36667	3	5	1
AL34	43.01849	-6.45968	3	5	1
AL36	65.64469	34.473266	0	1	0
AL37	46.136371	7.625699	2	0	0
AL42	62.41667	12.71667	0	5	1
AL43	62.53333	16.06667	1	5	0
AL5	60.35765	22.804196	3	5	1
AL51	54.20839	-5.89495	2	11	2
AL53	50.252803	15.090723	2	12	2
AL59	38.11666	-80.13333	0	0	1
AL7	60.369115	24.009092	3	5	1
AL73	40.312994	-105.646573	2	15	0
AM1	43.280048	6.384611	3	5	1
AM10	27.73482	-18.100162	3	0	1
AM100	35.0999985	-82.6333313	3	5	1
AM101	46.7166672	-60.9000015	0	6	1
AM102	39.44998	-82.539024	0	11	2
AM103	43.9925003	-70.058609	0	6	1
AM105	37.8583336	-83.6138916	0	11	2
AM106	37.955555	-83.3758316	0	11	2
AM107	34.77264	-83.433809	0	11	2
AM11	60.10956882	22.95087616	3	5	1
AM110	60.1099985	-152.5600031	2	2	2
AM111	35.146652	-83.035276	0	11	2
AM112	35.2233315	-83.2555542	0	5	1
AM113	35.2132	-83.0021	3	5	1
AM114	48.230316	14.931185	2	0	0
AM115	53.556677	-10.112243	3	0	0
AM116	55.966113	-2.66593	3	0	0
AM117	55.808468	-2.493578	3	5	1
AM119	56.543776	-4.219151	2	15	2
AM12	61.42914959	29.3308679	3	5	1
AM121	46.398568	7.614455	0	5	0
AM122	42.552574	1.507688	3	0	1
AM124	44.33027778	-70.55916667	3	0	0
AM128	41.23777778	-74.91472222	3	6	1
AM129	43.94416667	-71.71083333	3	6	1
AM13	60.72585553	27.66810503	3	5	1
AM131	34.66944444	-85.86388889	3	5	1
AM133	44.14055556	-73.74722222	3	6	1
AM135	42.70083333	-74.14027778	3	0	0
AM137	42.20444444	-74.03516667	3	0	0
AM14	60.37815787	22.80298908	3	5	1
AM142	41.96868	-74.509506	0	6	1
AM145	47.25	-53.63333333	3	6	1
AM15	69.19973122	21.28304916	3	5	1
AM159	32.74777778	-17.04027778	3	5	1
AM161	38.47019444	-28.42522222	3	0	1
AM162	43.926706	-73.067522	3	6	1
AM164	43.39983333	22.65583333	2	14	3
AM165	43.20569444	23.057	2	3	2
AM166	41.03333333	21.21952778	0	12	3
AM167	40.98586111	20.23636111	2	13	2
AM168	40.95783333	21.87302778	0	2	2
AM169	41.182142	40.99391	2	11	2
AM17	49.361303	14.502075	3	5	1
AM170	28.267194	-16.633487	3	5	1
AM171	28.267194	-16.633487	3	5	1
AM172	42.017417	-8.149996	3	5	1
AM175	41.71508333	-8.059472222	3	7	1
AM177	46.06252778	6.918305556	2	2	2
AM178	55.506535	-3.431958	0	0	1
AM179	57.081409	-4.054468	0	0	1
AM18	50.75224	15.535563	2	12	4
AM182	32.75862	-16.942218	0	5	0
AM20	48.953898	13.798053	3	5	5
AM21	50.20584	12.96583	3	5	1
AM22	58.65413174	6.36297637	3	5	5
AM23	59.34386061	11.09838237	3	5	1
AM25	43.333337	41.649998	2	16	3
AM26	43.666675	40.188889	0	17	3
AM28	52.9714	-9.424737	0	5	1
AM29	53.116284	-4.117355	0	5	1
AM3	64.666219	-17.189026	3	0	0
AM31	50.033327	6.417532	0	0	1
AM35	45.514046	1.894226	3	5	1
AM37	64.777893	13.928933	3	5	1
AM38	32.749889	-17.023516	3	5	1
AM39	59.700001	5.93333	3	5	1
AM4	48.403423	7.328669	3	5	1
AM40	44.070835	7.518889	3	0	0
AM42	44.243892	7.319989	3	5	1
AM43	69.53617195	26.6673821	3	5	1
AM44	40.571702	20.583869	2	14	3
AM45	44.40333	3.85972	2	12	2
AM46	44.477095	3.930173	3	5	1
AM47	38.539573	-3.561173	3	5	1
AM48	39.429829	-4.546051	0	5	1
AM49	41.227216	-3.253441	0	3	2
AM5	57.546372	-6.326852	3	5	2
AM50	42.834814	-0.708804	0	11	1
AM51	42.928777	-4.655571	0	5	1
AM52	43.170131	-6.521988	0	5	4
AM53	47.467093	14.405594	2	8	1
AM54	42.972502	-2.834587	0	5	1
AM55	43.161617	-4.723549	3	5	1
AM56	42.971497	-4.917984	0	5	1
AM57	43.365126	2.36475	0	5	1
AM58	42.573247	0.943093	0	5	1
AM59	40.32142	-7.582741	3	7	0
AM6	44.115814	7.461576	3	5	1
AM60	40.810236	39.615054	0	17	3
AM61	44.607501	22.281386	0	10	2
AM62	43.374728	22.616386	2	9	2
AM63	47.990956	20.329485	4	4	2
AM64	47.92209	20.029049	2	16	0
AM65	48.41047222	21.42775	2	12	2
AM66	46.111742	7.325985	2	2	2
AM67	46.217139	7.600422	2	12	2
AM68	50.641676	-4.110555	3	5	5
AM69	50.522228	-3.818329	3	5	1
AM7	41.844821	9.150138	3	5	1
AM70	42.406221	8.637886	3	0	0
AM71	42.581937	1.638204	0	12	0
AM72	42.540687	1.719861	0	0	1
AM75	51.883909	-3.373047	3	5	1
AM76	51.839192	-3.323327	3	5	1
AM77	62.416678	12.716666	0	5	0
AM78	56.038582	13.250513	3	5	1
AM79	69.600008	20.249999	3	5	1
AM8	42.396302	9.326613	2	9	2
AM80	63.466676	13.316663	3	5	1
AM81	66.550012	16.316658	3	5	1
AM82	59.60596667	14.22418333	3	5	1
AM83	59.90933333	14.32395	0	5	1
AM84	70.7846	23.37445	0	15	3
AM85	61.650854	15.248886	3	5	1
AM86	61.671677	14.763895	3	5	1
AM87	62.51667	16.000001	3	5	1
AM88	70.466668	23.399996	3	5	1
AM9	50.570155	5.691773	3	5	1
AM91	54.159871	-6.835992	0	5	5
AM92	54.04528	-6.191683	3	5	1
AM93	57.22242	-2.960093	3	5	1
AM94	32.649204	-16.907644	3	5	1
AM95	50.05551	17.23754	2	9	2
AM96	50.7299995	15.7299995	0	12	2
AM97	45.5333328	-65	3	6	1
AM98	37.682734	-79.881792	0	11	2
AM99	35.9505539	-84.5844421	3	5	1
				
