Categoría: Todas las categorías

Semana,PyMOL: (Todo el mundo),Jmol: (Todo el mundo),UCSF Chimera: (Todo el mundo)
2018-05-13,69,13,3
2018-05-20,65,9,4
2018-05-27,65,9,6
2018-06-03,70,7,5
2018-06-10,52,11,0
2018-06-17,47,3,13
2018-06-24,47,15,9
2018-07-01,55,13,3
2018-07-08,64,13,6
2018-07-15,49,5,0
2018-07-22,48,13,8
2018-07-29,46,10,6
2018-08-05,54,5,6
2018-08-12,51,10,7
2018-08-19,49,8,0
2018-08-26,57,5,0
2018-09-02,59,9,11
2018-09-09,54,8,6
2018-09-16,61,5,5
2018-09-23,52,9,7
2018-09-30,55,11,11
2018-10-07,67,9,5
2018-10-14,61,11,12
2018-10-21,64,12,8
2018-10-28,53,10,0
2018-11-04,69,18,5
2018-11-11,68,14,0
2018-11-18,59,11,4
2018-11-25,67,16,7
2018-12-02,55,13,0
2018-12-09,51,13,7
2018-12-16,43,8,4
2018-12-23,24,9,0
2018-12-30,36,5,5
2019-01-06,61,9,7
2019-01-13,60,7,6
2019-01-20,40,16,8
2019-01-27,60,9,10
2019-02-03,61,14,5
2019-02-10,51,22,8
2019-02-17,69,13,6
2019-02-24,57,14,3
2019-03-03,57,9,2
2019-03-10,56,12,4
2019-03-17,66,8,8
2019-03-24,55,13,0
2019-03-31,55,10,0
2019-04-07,60,13,8
2019-04-14,55,10,0
2019-04-21,51,7,5
2019-04-28,54,7,6
2019-05-05,52,7,4
2019-05-12,37,12,9
2019-05-19,47,3,0
2019-05-26,52,8,4
2019-06-02,60,10,6
2019-06-09,66,7,6
2019-06-16,55,6,4
2019-06-23,47,8,0
2019-06-30,50,7,3
2019-07-07,60,7,6
2019-07-14,60,9,0
2019-07-21,52,3,0
2019-07-28,38,9,5
2019-08-04,54,3,4
2019-08-11,52,5,7
2019-08-18,55,6,7
2019-08-25,39,9,10
2019-09-01,61,12,2
2019-09-08,67,17,0
2019-09-15,72,8,0
2019-09-22,67,4,13
2019-09-29,69,11,3
2019-10-06,71,11,4
2019-10-13,62,8,10
2019-10-20,64,23,3
2019-10-27,53,7,9
2019-11-03,73,11,8
2019-11-10,62,9,7
2019-11-17,61,13,3
2019-11-24,74,5,6
2019-12-01,51,19,4
2019-12-08,44,14,6
2019-12-15,46,5,4
2019-12-22,34,5,7
2019-12-29,24,2,4
2020-01-05,40,5,0
2020-01-12,39,8,5
2020-01-19,47,10,10
2020-01-26,55,14,6
2020-02-02,63,9,6
2020-02-09,69,10,4
2020-02-16,63,14,5
2020-02-23,59,12,6
2020-03-01,67,18,7
2020-03-08,61,10,6
2020-03-15,54,7,6
2020-03-22,67,5,5
2020-03-29,72,9,8
2020-04-05,64,8,5
2020-04-12,69,11,5
2020-04-19,74,6,10
2020-04-26,86,10,9
2020-05-03,68,9,10
2020-05-10,57,8,9
2020-05-17,63,15,8
2020-05-24,60,3,4
2020-05-31,53,10,7
2020-06-07,49,12,7
2020-06-14,62,5,4
2020-06-21,51,9,8
2020-06-28,63,3,5
2020-07-05,58,5,10
2020-07-12,57,13,3
2020-07-19,64,12,7
2020-07-26,51,5,7
2020-08-02,41,4,3
2020-08-09,43,7,4
2020-08-16,50,8,4
2020-08-23,48,13,5
2020-08-30,47,12,5
2020-09-06,65,12,8
2020-09-13,60,6,7
2020-09-20,63,10,4
2020-09-27,57,10,6
2020-10-04,58,18,7
2020-10-11,54,7,6
2020-10-18,52,8,7
2020-10-25,42,19,6
2020-11-01,42,7,3
2020-11-08,62,4,0
2020-11-15,46,10,4
2020-11-22,48,9,6
